ID,MapID,AreaID,ButtonFileDataID,BackgroundFileDataID,LoreFileDataID,Name_lang,Description_lang
63,36,1581,522352,522336,526404,Deadmines,"It is said the Deadmines' gold deposits once accounted for a third of Stormwind's treasure reserves. Amid the chaos of the First War, the mines were abandoned and later thought to be haunted, leaving them relatively untouched until the Defias Brotherhood--a group of former laborers turned brigands--claimed the labyrinth as a base of operations for its subversive activities against Stormwind."
64,33,0,522358,522342,526410,Shadowfang Keep,"Looming over Pyrewood Village from the southern bluffs of Silverpine Forest, Shadowfang Keep casts a shadow as dark as its legacy. Sinister forces occupy these ruins, formerly the dwelling of the mad archmage Arugal's worgen. The restless shade of Baron Silverlaine lingers, while Lord Godfrey and his cabal of erstwhile Gilnean noblemen plot against their enemies both living and undead."
65,643,5382,522362,522346,526413,Throne of the Tides,"Deep within the Abyssal Maw's fathomless expanses lies the Throne of the Tides. From here, the great elemental lord Neptulon the Tidehunter has surveyed and protected his aquatic domain for ages. He now faces his greatest challenge as a force of serpentine naga and malefic faceless ones threaten to depose him, leaving his realm and its secrets ripe for the plundering."
66,645,5374,522350,522334,526402,Blackrock Caverns,"Rumors suggest that Deathwing himself carved out the subterranean labyrinth that allows the Twilight's Hammer to secretly transport elementals from the majestic Mount Hyjal to Blackrock Mountain. A vital hub of this shadow network is Blackrock Caverns, site of the cult's blistering forge and some of its most heinous experiments, including the transformation of cultists into twilight dragonkin."
67,725,5303,522360,522344,526412,The Stonecore,"Within the Temple of Earth, locked in the heart of Deepholm, lies the Stonecore. It was inside these caverns that the Twilight's Hammer toiled over Deathwing, hammering elementium plates to the Dragon Aspect's body in an attempt to hold his tormented form together. With his renewal complete, Deathwing ascended into Azeroth, shattering the World Pillar and destabilizing the region of Deepholm."
68,657,5583,522361,522345,526414,The Vortex Pinnacle,"The Vortex Pinnacle exists within the elemental plane of Skywall. Its elegant structures, crowned with bronze and gold, sit atop platforms bridged by pure air. Yet behind its exterior beauty, the pinnacle harbors Neferset tol'vir, as well as Al'Akir the Windlord's merciless elemental legions. As long as the barrier between Skywall and Azeroth remains open, terror will rain down on Uldum from the skies."
69,755,0,522357,522341,526409,Lost City of the Tol'vir,"The Lost City of the Tol'vir is the stronghold of the Neferset, a faction of the cat-like tol'vir who swore fealty to Deathwing in exchange for a cure to the curse of flesh, which had turned their rocky hides to soft skin. With the affliction expunged, the tol'vir have rebelled against their benefactor, although they remain irrevocably twisted and hostile due to the dark pact that they made."
70,644,0,522356,522340,526408,Halls of Origination,"Constructed by the great titans, the Halls of Origination are filled with ancient relics and the fearsome guardians that protect them. Rumors abound that the complex also contains a devastating weapon capable of reordering all life on Azeroth. Deathwing has moved to obtain this terrifying device through his agent, Al'Akir the Windlord. Thus far the facility's communication systems have been fully corrupted, but the weapon inside continues to elude Deathwing's grasp."
71,670,0,522354,522338,526406,Grim Batol,"Don't be fooled by Grim Batol's humble exterior; many of this mountain fortress's desecrated chambers are buried deep in the Twilight Highlands. Once the stronghold of the Wildhammer dwarves, and later seized by orcs as a prison for Alextrasza, the city is now in the clutches of the Twilight's Hammer cult.

Heroes brave enough to infiltrate the brooding depths of the stronghold must confront Deathwing's agents to thwart the mysterious evil within."
72,671,0,522355,522339,526407,The Bastion of Twilight,"The Bastion of Twilight stands as a dark symbol of the Old Gods' burgeoning power on Azeroth. Various branches of the Twilight's Hammer dwell deep beneath the towering form--considered the cult's foremost command center--along with their twisted leader, Cho'gall. There, he and his servants conspire to bring the Old Gods' apocalyptic visions to fruition by bleeding Azeroth of all sanity, hope, and life."
73,669,5729,522351,522335,526403,Blackwing Descent,"Nefarian and his warped attempts to create a new breed of dragon were thought to be defeated after his death in Blackwing Lair. Yet tales have emerged that his father, Deathwing, has reanimated  Nefarian and set him to work in Blackwing Descent. The gruesome experiments being conducted there are feared to be on a level of wickedness far surpassing Nefarian's previous crimes against nature."
74,754,5684,522359,522343,526411,Throne of the Four Winds,"Al'Akir the Windlord's personal lair, the Throne of the Four Winds, glides high among Skywall's boundless vistas. Now that the barriers of the Elemental Plane have been ruptured, Al'Akir is free to travel Azeroth's winds at his leisure. He has mustered his fiercest tempests to scour Uldum of life and seize control of the mysterious titan-forged Halls of Origination."
75,757,0,522349,522333,526401,Baradin Hold,"Following the Second War, the ruined fortress of Baradin Hold on the remote island of Tol Barad was converted into a prison for some of the most dangerous forces on Azeroth. Yet with the devastation wrought by the Cataclysm, the prison's integrity has been compromised. Now as the Horde and Alliance vie for supremacy on the island, the liberation of its forgotten horrors may be at hand."
76,859,0,522364,522348,526416,Zul'Gurub,"Zul'Gurub was the capital of the Gurubashi jungle trolls, a tribe that once controlled the vast jungles of the south. It was here that Jin'do the Hexxer summoned the savage loa Hakkar the Soulflayer into Azeroth. Of late, these efforts have begun anew amid an alliance between the Gurubashi and Zandalar trolls that seeks to establish a unified troll empire."
77,568,3508,522363,522347,526415,Zul'Aman,"Echoes of unfulfilled vengeance linger in the one-time capital of the Amani tribe, Zul'Aman. Though the Amani trolls answered their warlord's call to arms, Zul'jin was denied his goal of restoring the empire to its former glory. Where he failed, the Zandalar tribe will succeed. Left unchecked, the united tribes will reclaim their lands and savor a merciless retribution."
78,720,0,522353,522337,526405,Firelands,"The Firelands is the molten domain forged by the titans to house Ragnaros and his wayward minions. Following Deathwing's emergence into Azeroth, Ragnaros and his servants surged onto the slopes of Mount Hyjal before being driven back by the sacred mountain's valiant defenders. Now Ragnaros is rallying his loyalists to defend the Firelands from Azeroth's champions."
184,938,0,571754,571739,571758,End Time,"One of an infinite number of potential outcomes, this timeway depicts the desolate future of Azeroth should Deathwing fail to be stopped.  Nozdormu has identified a powerful anomaly that exists in this moment and bars access to the past - and hope of retrieving the Demon Soul. The powerful creature from out of time lives alone amidst the time-twisted echoes of the past."
185,939,0,571756,571741,571760,Well of Eternity,"Ten-thousand years in the past, the night elven capital city of Zin-Azshari was a magnificent, sparkling metropolis.  Situated on the shores of the Well of Eternity, it was here that the aristocratic Highborne first opened a portal into the Twisting Nether and invited the Burning Legion to invade Azeroth.  Under the command of the night elven queen, Azshara, they now pour their energies into the portal, preparing it for the terrifying and glorious entrance of the demon god Sargeras."
186,940,0,571755,571740,571759,Hour of Twilight,"With the Dragon Soul retrieved from the past, the Heroes of Azeroth now prepare for the final confrontation with Deathwing.  In the frozen wastes of Northrend, the towering spire of Wyrmrest Temple is under the assault of Deathwing's Twilight forces.  In order to save Azeroth, Thrall must arrive safely at the temple with the Dragon Soul in hand."
187,967,0,571753,571738,571757,Dragon Soul,"Forged by Deathwing during the War of the Ancients, the Dragon Soul harnessed the combined power of the dragonflights until it was ultimately destroyed. Through the Caverns of Time, Thrall and the remaining dragonflights were able to recover the powerful artifact before its destruction.  Now they have rallied at Wyrmrest Temple in a desperate attempt to use the might of the Dragon Soul against Deathwing himself."
226,389,0,608211,608172,608250,Ragefire Chasm,"Ragefire Chasm extends deep below the city of Orgrimmar. Barbaric troggs and devious Searing Blade cultists once plagued the volcanic caves, but now a new threat has emerged: dark shaman. Although Warchief Garrosh Hellscream recently called on a number of shaman to use the elements as weapons against the Alliance, the chasm's current inhabitants appear to be renegades. Reports have surfaced that these shadowy figures are amassing a blistering army that could wreak havoc if unleashed upon Orgrimmar."
227,48,0,608195,608156,608234,Blackfathom Deeps,"Once dedicated to the night elves' goddess Elune, Blackfathom Deeps was thought to have been destroyed during the Sundering, lost beneath the ocean. Millennia later, members of the Twilight's Hammer cult were drawn to the temple by whispers and foul dreams. After sacrificing untold numbers of innocents, the cult was rewarded with a new task: to protect one of the Old Gods' most cherished creatures, a pet that is still in need of nurturing before he can unleash his dark powers on the world."
228,230,0,608196,608157,608235,Blackrock Depths,"The smoldering Blackrock Depths are home to the Dark Iron dwarves and their emperor, Dagran Thaurissan. Like his predecessors, he serves under the iron rule of Ragnaros the Firelord, a merciless being summoned into the world centuries ago. The presence of chaotic elementals has attracted Twilight's Hammer cultists to the mountain domain. Along with Ragnaros' servants, they have pushed the dwarves toward increasingly destructive ends that could soon spell doom for all of Azeroth."
229,229,0,608197,608158,608236,Blackrock Spire,"This imposing fortress, carved into the fiery core of Blackrock Mountain, represented the might of the Dark Iron clan for centuries. More recently, the black dragon Nefarian and his spawn seized the keep's upper spire and ignited a brutal war against the dwarves. The draconic armies have since allied with Warchief Rend Blackhand and his false Horde. This combined force lords over the spire, conducting horrific experiments to bolster its ranks while plotting the meddlesome Dark Irons' downfall."
230,429,0,608200,608161,608239,Dire Maul,"Built thousands of years ago to house the kaldorei's arcane secrets, the formerly great city of Eldre'Thalas now lies in ruin, writhing with warped, twisted forces. Competing covens once fought for control of Dire Maul's corrupted energy, but they have since settled into uneasy truces, choosing to exploit the power within their own territories rather than continue to battle over the entire complex."
231,90,0,608202,608163,608241,Gnomeregan,"Built deep within the mountains of Dun Morogh, the wondrous city of Gnomeregan was a testament to the gnomes' intelligence and industry. But when the capital was invaded by troggs, the gnomish high tinker was betrayed by his advisor Sicco Thermaplugg. As a result, Gnomeregan was irradiated, and most of its inhabitants slain. The surviving gnomes fled, vowing to return someday and retake their home."
232,349,0,608209,608170,608248,Maraudon,"According to legend, Zaetar, son of Cenarius, and the earth elemental princess Theradras begot the barbaric centaur race. Shortly after the centaur's creation, the ruthless creatures murdered their father. The grief-stricken Theradras is said to have trapped her lover's spirit within Maraudon, corrupting the region. Now, vicious centaur ghosts and twisted elemental minions roam every corner of the sprawling caves."
233,129,0,608212,608173,608251,Razorfen Downs,"Legends state that where the demigod Agamaggan fell, his blood gave rise to great masses of thorny vines. Many quilboar have taken up residence in the largest cluster of giant thorns, the Razorfen, which they revere as Agamaggan's resting place. Recently, scouts have reported seeing undead milling about the region, engendering fears that the dreaded Scourge may be moving to conquer Kalimdor."
234,47,0,608213,608174,608252,Razorfen Kraul,"Legends state that where the demigod Agamaggan fell, his blood gave rise to great masses of thorny vines. Many quilboar have taken up residence in the largest cluster of giant thorns, the Razorfen, which they revere as Agamaggan's resting place. Recently, scouts have reported seeing undead milling about the region, engendering fears that the dreaded Scourge may be moving to conquer Kalimdor."
235,189,0,608214,608175,608253,Scarlet Monastery - OLD,PH
236,329,0,608216,608177,608255,Stratholme,"Stratholme was once the jewel of northern Lordaeron, but today it is remembered for its harrowing fall to ruin. It was here that Prince Arthas turned his back on the noble paladin Uther Lightbringer, slaughtering countless residents believed to be infected with the horrific plague of undeath. Ever since, cursed Stratholme has been marred by death, betrayal, and hopelessness."
237,109,0,608217,608178,608256,The Temple of Atal'hakkar,"Thousands of years ago, the Gurubashi empire was plunged into a civil war by a powerful sect of priests, the Atal'ai, who sought to summon to Azeroth an avatar of their god of blood, Hakkar the Soulflayer. The Gurubashi people exiled the Atal'ai to the Swamp of Sorrows, where the priests built the Temple of Atal'Hakkar. Ysera, Aspect of the green dragonflight, sank the temple beneath the swamp and assigned wardens to ensure that the summoning rituals never be performed again."
238,34,0,608223,608184,608262,The Stockade,"Stormwind Stockade is a closely guarded prison built beneath the canals of Stormwind City. Warden Thelwater keeps watch over the stockade and the highly dangerous criminals who call it home. Recently, the inmates revolted, overthrowing their guards and plunging the prison into a state of pandemonium."
239,70,0,608225,608186,608264,Uldaman,"Uldaman is an ancient titan vault buried deep within the earth. It is said the titans sealed away a failed experiment there and then moved on to a new project, related to the genesis of the dwarves. Tales of a fabled treasure containing great knowledge have enticed would-be treasure hunters to dig deeper into the secrets of Uldaman, a task made perilous by the presence of stone defenders, savage troggs, Dark Iron invaders, and other dangers lurking in the lost city."
240,43,0,608229,608190,608313,Wailing Caverns,"Years ago, the famed druid Naralex and his followers descended into the shadowy Wailing Caverns, named for the mournful cry one hears when steam bursts from the cave system's fissures. Naralex planned to use the underground springs to restore lushness to the arid Barrens. But upon entering the Emerald Dream, he saw his vision of regrowth turn into a waking nightmare, one that has plagued the caverns ever since."
241,209,0,608230,608191,608267,Zul'Farrak,"Zul'Farrak was once the shining jewel of Tanaris, ferociously protected by the cunning Sandfury tribe. Despite the trolls' tenacity, this isolated group was forced to surrender much of its territory throughout history. Now, it appears that Zul'Farrak's inhabitants are creating a horrific army of undead trolls to conquer the surrounding region. Other disturbing rumors tell of an ancient creature sleeping within the city--one that, if awakened, will rain death and destruction across Tanaris."
246,1007,0,608215,608176,608254,Scholomance,"Individuals seeking to master the powers of undeath know well of Scholomance, the infamous school of necromancy located in the dark and foreboding crypts beneath Caer Darrow. In recent years, several of the instructors have changed, but the institution remains under the control of Darkmaster Gandling, a particularly sadistic and insidious practitioner of necromantic magic."
247,558,0,608193,608154,608232,Auchenai Crypts,"The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar."
248,543,0,608207,608168,608246,Hellfire Ramparts,"At the heart of Outland's barren Hellfire Peninsula stands Hellfire Citadel, a nearly impenetrable bastion that served as the Horde's base of operations throughout the First and Second Wars."
249,585,0,608208,608169,608247,Magisters' Terrace,"After his defeat in Tempest Keep, Kael'thas Sunstrider publicly revealed his alliance with the ruthless Burning Legion. Intent upon summoning the demon lord Kil'jaeden, Kael'thas has returned to the Isle of Quel'Danas to make the final preparations for his master's arrival."
250,557,0,608193,608154,608232,Mana-Tombs,"The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar."
251,560,0,608198,608159,608237,Old Hillsbrad Foothills,"Deep within the Caverns of Time, the brooding dragon Nozdormu has awakened. Since the world was young, the bronze dragonflight has safeguarded the winding labyrinth, monitoring the shifting timeways to ensure that the delicate balance of time is upheld."
252,556,0,608193,608154,608232,Sethekk Halls,"The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar."
253,555,0,608193,608154,608232,Shadow Labyrinth,"The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar."
254,552,0,608218,608179,608257,The Arcatraz,"The mighty Tempest Keep was created by the enigmatic naaru: sentient beings of pure energy and the sworn enemies of the Burning Legion. In addition to serving as a base of operations for the naaru, the structure itself possesses the technology to teleport through alternate dimensions, traveling from one location to another in the blink of an eye."
255,269,0,608198,608159,608237,The Black Morass,"Deep within the Caverns of Time, the brooding dragon Nozdormu has awakened. Since the world was young, the bronze dragonflight has safeguarded the winding labyrinth, monitoring the shifting timeways to ensure that the delicate balance of time is upheld."
256,542,0,608207,608168,608246,The Blood Furnace,"At the heart of Outland's barren Hellfire Peninsula stands Hellfire Citadel, a nearly impenetrable bastion that served as the Horde's base of operations throughout the First and Second Wars."
257,553,0,608218,608179,608257,The Botanica,"The mighty Tempest Keep was created by the enigmatic naaru: sentient beings of pure energy and the sworn enemies of the Burning Legion. In addition to serving as a base of operations for the naaru, the structure itself possesses the technology to teleport through alternate dimensions, traveling from one location to another in the blink of an eye."
258,554,0,608218,608179,608257,The Mechanar,"The mighty Tempest Keep was created by the enigmatic naaru: sentient beings of pure energy and the sworn enemies of the Burning Legion. In addition to serving as a base of operations for the naaru, the structure itself possesses the technology to teleport through alternate dimensions, traveling from one location to another in the blink of an eye."
259,540,0,608207,608168,608246,The Shattered Halls,"At the heart of Outland's barren Hellfire Peninsula stands Hellfire Citadel, a nearly impenetrable bastion that served as the Horde's base of operations throughout the First and Second Wars."
260,547,0,608199,608160,608238,The Slave Pens,"Coilfang Reservoir is the name for a naga-dominated compound that lurks under Zangarmarsh's deepest waters. The reservoir, punctured throughout by massive open pipes and pistons, seems big enough to house armies - and, yet, its purpose isn't strictly military."
261,545,0,608199,608160,608238,The Steamvault,"Coilfang Reservoir is the name for a naga-dominated compound that lurks under Zangarmarsh's deepest waters. The reservoir, punctured throughout by massive open pipes and pistons, seems big enough to house armies - and, yet, its purpose isn't strictly military."
262,546,0,608199,608160,608238,The Underbog,"Coilfang Reservoir is the name for a naga-dominated compound that lurks under Zangarmarsh's deepest waters. The reservoir, punctured throughout by massive open pipes and pistons, seems big enough to house armies - and, yet, its purpose isn't strictly military."
271,619,0,608192,608153,608231,Ahn'kahet: The Old Kingdom,"Azjol-Nerub was an empire of great strength when the Lich King arrived in Northrend. Despite ferocious resistance, however, Scourge forces managed to overtake the subterranean kingdom and slaughter its inhabitants, the nerubians. Scarred by years of war and abandonment, this vast domain is now occupied on two fronts."
272,601,0,608194,608155,608233,Azjol-Nerub,"Azjol-Nerub was an empire of great strength when the Lich King arrived in Northrend. Despite ferocious resistance, however, Scourge forces managed to overtake the subterranean kingdom and slaughter its inhabitants, the nerubians. Scarred by years of war and abandonment, this vast domain is now occupied on two fronts."
273,600,0,608201,608162,608240,Drak'Tharon Keep,"Drak'Tharon Keep once served the Drakkari trolls as a formidable outpost at the edge of their kingdom, Zul'Drak, but a recent Scourge invasion has delivered the fortress into the Lich King's hands. The keep's fallen defenders are now the Lich King's undead minions, and they are advancing into the heart of Drakkari territory."
274,604,0,608203,608164,608242,Gundrak,"Desperate to save their kingdom from collapse, the trolls of Zul'Drak have turned on their ancient gods. The wild deities are now considered a source of untapped power, their potent blood providing the means to repel the Lich King's minions, who have overtaken parts of the troll nation. Heroes have recently journeyed to the beleaguered region to strike at the savage Drakkari and their maddened prophets."
275,602,0,608204,608165,608243,Halls of Lightning,"Upon departing Azeroth, the titans entrusted loyal protectors with safeguarding Ulduar, an enigmatic city nestled in the mountains of the Storm Peaks. Designated supreme among his brethren was the guardian known as Loken, but with the power of the titan complex in his hands, he turned to darkness and plunged the region into chaos."
276,668,0,608205,608166,608244,Halls of Reflection,"For many years, champions among the races of Azeroth have stood against the Lich King only to be slaughtered mercilessly and forced to serve in his army of undead horrors. In his ongoing struggle to stop the Lich King, Tirion Fordring of the Argent Crusade has joined forces with Darion Mograine of the Knights of the Ebon Blade in order to assault Icecrown Citadel with a unified army called the Ashen Verdict."
277,599,0,608206,608167,608245,Halls of Stone,"Upon departing Azeroth, the titans entrusted loyal protectors with safeguarding Ulduar, an enigmatic city nestled in the mountains of the Storm Peaks. Designated supreme among his brethren was the guardian known as Loken, but with the power of the titan complex in his hands, he turned to darkness and plunged the region into chaos."
278,658,0,608210,608171,608249,Pit of Saron,"For many years, champions among the races of Azeroth have stood against the Lich King only to be slaughtered mercilessly and forced to serve in his army of undead horrors. In his ongoing struggle to stop the Lich King, Tirion Fordring of the Argent Crusade has joined forces with Darion Mograine of the Knights of the Ebon Blade in order to assault Icecrown Citadel with a unified army called the Ashen Verdict."
279,595,0,608219,608180,608258,The Culling of Stratholme,"Deep within the Caverns of Time, the brooding dragon Nozdormu has awakened. Since the world was young, the bronze dragonflight has safeguarded the winding labyrinth, monitoring the shifting timeways to ensure that the delicate balance of time is upheld."
280,632,0,608220,608181,608259,The Forge of Souls,"For many years, champions among the races of Azeroth have stood against the Lich King only to be slaughtered mercilessly and forced to serve in his army of undead horrors. In his ongoing struggle to stop the Lich King, Tirion Fordring of the Argent Crusade has joined forces with Darion Mograine of the Knights of the Ebon Blade in order to assault Icecrown Citadel with a unified army called the Ashen Verdict."
281,576,0,608221,608182,608260,The Nexus,"In order to reestablish his dominance over magic, the blue Dragon Aspect, Malygos, has launched a ruthless campaign to sever the link between mortals and the arcane energies coursing through Azeroth. To this end, his blue dragonflight is redirecting the ley lines of the world to the Nexus, Malygos' towering lair."
282,578,0,608222,608183,608261,The Oculus,"In order to reestablish his dominance over magic, the blue Dragon Aspect, Malygos, has launched a ruthless campaign to sever the link between mortals and the arcane energies coursing through Azeroth. To this end, his blue dragonflight is redirecting the ley lines of the world to the Nexus, Malygos' towering lair."
283,608,0,608228,608189,608312,The Violet Hold,"Among the ornate spires and enchanted streets of Dalaran, a dark presence stirs within the mighty walls of the Violet Hold. Long used to restrain threats to the city, the tower holds row upon row of deadly inmates, and it has been diligently watched over by the Kirin Tor. However, a sudden assault has tested the integrity of the hold, putting at risk the safety of everyone outside the prison's walls."
284,650,0,608224,608185,608263,Trial of the Champion,"Clouds blanket the skies of Icecrown and heroes gather beneath battle-worn banners in preparation for the coming storm. They say that even the darkest cloud has a silver lining. It is this hope that drives the men and women of the Argent Crusade: hope that the Light will see them through these trying times, hope that good will triumph over evil, hope that a hero blessed by the Light will come forth to put an end to the Lich King's dark reign."
285,574,0,608226,608187,608265,Utgarde Keep,"Utgarde Keep was long thought to be abandoned, a relic of a lost civilization among the central cliffs of the Howling Fjord. Yet in recent days something has roused the fortress' slumbering residents, the vrykul."
286,575,0,608227,608188,608266,Utgarde Pinnacle,"Utgarde Keep was long thought to be abandoned, a relic of a lost civilization among the central cliffs of the Howling Fjord. Yet in recent days something has roused the fortress' slumbering residents, the vrykul."
302,961,0,632275,632268,632282,Stormstout Brewery,"When Chen Stormstout arrived in the Valley of the Four Winds, he journeyed to the renowned brewery of his namesake, hoping to connect with his relatives. What he found was his ancestral home in disarray. Under the watch of the incompetent Uncle Gao, loathsome virmen and unruly hozen have infiltrated the brewery, sparking a destructive revel that will soon devastate the region's supply of tasty brews."
303,962,0,632270,632263,632277,Gate of the Setting Sun,"For generations, a massive wall called the Serpent's Spine has protected the denizens of Pandaria from periodic assaults by the rampaging, insect-like mantid. This brutal race's cycle of aggression recently began earlier than expected, catching the wall's defenders off guard. As the mightiest mantid warriors charge the battle-worn gates, Pandaria must hold back the most devastating army in the land's recorded history."
311,1001,0,643262,643259,643265,Scarlet Halls,"The Crusade's fiercest warriors, those who have held their ground and fought to defend the monastery throughout these dark times, are rapidly preparing an army within the Scarlet Halls. These soldiers are bound by their hatred of the unliving, and they are willing to sacrifice everything for their order's righteous cause."
312,959,0,632274,632267,632281,Shado-Pan Monastery,"War has spread across Pandaria, and the destructive conflict between the Horde and Alliance has led to turmoil in the majestic Shado-Pan Monastery. There, three malevolent entities--the Sha of Violence, the Sha of Hatred, and the Sha of Anger--have erupted from their prisons. Although the Sha of Anger fled the secluded monastery completely, the remaining sha have begun wreaking havoc on the site's brave Shado-Pan defenders."
313,960,0,632276,632269,632283,Temple of the Jade Serpent,"Rising high above the east coast of Pandaria, the Temple of the Jade Serpent stands as a sacred monument to the legendary pandaren emperor Shaohao's victory over the Sha of Doubt thousands of years ago. Recently, a disastrous conflict in the Jade Forest unleashed the sha, and several of the entities  have raided the temple's most treasured stores of wisdom and knowledge."
316,1004,0,608214,608175,608253,Scarlet Monastery,"The Crusade's fanatical leaders direct their followers from the Scarlet Cathedral, at the heart of the monastery grounds. This heavily guarded location functions as the order's headquarters, and some of the most zealous and intolerant crusaders roam the halls of this once-hallowed place."
317,1008,0,632273,632266,632280,Mogu'shan Vaults,"The mogu, proud of their supremacy, kept lengthy records of their accomplishments within a great complex of vaults. The construction of these vast chambers predate any pandaren written records, shrouding their depths in mystery. Rumors once circulated of a mighty army locked within; for this reason, the vaults were the first target of the ancient pandaren rebellion, and they have been sealed ever since the mogu empire was overthrown."
320,996,0,643264,643261,643267,Terrace of Endless Spring,"Hidden high in the mountains, the Terrace of Endless Spring is the sacred center of the Vale of Eternal Blossoms. Its peaceful fountains are said to have the power to heal and rejuvenate, but when the Sha of Fear attacked, many of the complex's guardians turned on each other in fits of terror."
321,994,0,632272,632265,632279,Mogu'shan Palace,"The ancient Mogu'shan Palace is the last true bastion of mogu strength on mainland Pandaria. Three of their great clans recently gathered at this stunning location to meet with their king, Xin the Weaponmaster. This mighty ruler has formulated a bold plan to unite his scattered people and reclaim the glory of their fallen empire. With turmoil gripping Pandaria, Xin's lofty dream of conquest could become reality."
322,996,0,652218,652217,652219,Pandaria,"Shrouded in mists since the world was sundered ten thousand years ago, the ancient realm of Pandaria has remained unspoiled by war. Its lush forests and cloud-ringed mountains are home to a complex ecosystem of indigenous races and exotic creatures. It is the homeland of the enigmatic pandaren, a race that celebrates life to the fullest even while under siege by an ancient menace."
324,1011,0,643263,643260,643266,Siege of Niuzao Temple,"Niuzao Temple extends across two fortified islands far beyond a towering wall called the Serpent's Spine. For years, tenacious pandaren defenders have protected the narrow bridges connecting the isles, staving off any would-be invaders. Yet recently, the mantid created their own bridge--a massive tree root--and seized one of the islands by surprise. Now, these brutal insectoids are poised to assault Niuzao's remaining guardians."
330,1009,0,632271,632264,632278,Heart of Fear,"The Sha of Fear has corrupted the grand empress of the mantid. Her increasingly erratic and paranoid commands have driven the Klaxxi--the keepers of mantid culture--to take aggressive action. Because they are few in number, the Klaxxi are reluctantly willing to accept outside help in destroying the empress and purging their race of the sha's negative influence."
